period,gini,wolfson,atkinson_e1,ede_e1,middle_share,bottom20_income,top20_income,employment,vulnerable_employment,skill_gap,capital_top10,output,growth_q1,growth_q2,growth_q3,growth_q4,growth_q5,seed,policy
4,0.3059402934374431,0.2758689967516248,0.14246947417449118,0.9775899887282588,0.33785714285714286,0.22402312850186226,3.17616183717328,0.972761526372784,0.8852665654449976,0.718572353427297,0.37002848195946253,1.140006051431433,-0.05762348463335759,-0.03629053552691948,-0.012761397803933688,0.006114118203517795,0.040910281592363124,0,전국민 공공AI
5,0.31138156132861794,0.2795870404724115,0.14733906265979646,0.9766449864981653,0.3335714285714286,0.21874659981778644,3.243373862445207,0.9721747775224886,0.8846539836199689,0.7194266056566987,0.3708673926145561,1.1454083841869414,-0.070490722693895,-0.044130994598858865,-0.01353247258206295,0.009834466655565243,0.053833041398741635,0,전국민 공공AI
6,0.3169766994512131,0.28572617229228114,0.1524018159491788,0.9758976198609142,0.3242857142857143,0.21374750632518397,3.311335624213581,0.9715912849749406,0.8840471408725357,0.7200065817615499,0.3716847761723578,1.1513682287483527,-0.08319748674327514,-0.05100925249096774,-0.014781464658572968,0.013753917169627016,0.06691994618058056,0,전국민 공공AI
7,0.3228434033354649,0.29100180973111617,0.15779554014933184,0.9752316392379117,0.3192857142857143,0.20885774490426226,3.383875613837801,0.9710101368930215,0.883442190413202,0.7205460382390065,0.3726434697440694,1.1579511694949118,-0.09624598443239188,-0.05832786215927203,-0.015501350036649843,0.018081077724297002,0.0802664696543583,0,전국민 공공AI
8,0.32893554531749747,0.2986976746605381,0.1634562016112947,0.9746188790139539,0.315,0.2044025117980783,3.4613217612449922,0.9704294012956994,0.8828382015414354,0.7203551234366009,0.373949684621666,1.1650542157998178,-0.10912936590785037,-0.06583947648495733,-0.016449084544822978,0.02238270050535334,0.09416497605297382,0,전국민 공공AI
9,0.3351684897178716,0.30463191551303054,0.1693376294193718,0.9739412181540127,0.31214285714285717,0.19979734282409603,3.537831363867212,0.9698489294581865,0.8822328400308374,0.721023450484024,0.3753062757945345,1.1724874662051121,-0.12200717311897455,-0.07333021048444309,-0.01728151351531723,0.026410325010581527,0.10786056967877611,0,전국민 공공AI
10,0.34153243671224853,0.3111421870730687,0.17543499418094788,0.9738240108800696,0.3107142857142857,0.19544579807735815,3.621786031540167,0.9692756619734678,0.8816318214634788,0.7213945198409426,0.3769847666642852,1.1810154493674594,-0.13471746696105744,-0.07986691583625127,-0.017846630209278114,0.03131650419559729,0.12216475380723968,0,전국민 공공AI
11,0.34787862616215304,0.31837541867104086,0.18161827550706444,0.9738047780262249,0.305,0.19147780174637757,3.7027447311959345,0.9687058699513867,0.8810420080156566,0.7207506203377532,0.3788582380633325,1.189915107927891,-0.14721524293699484,-0.08613219224455156,-0.01790096765276664,0.036175708325424626,0.13602418940473454,0,전국민 공공AI
12,0.35444469247283594,0.32444071506649375,0.1881284953769733,0.9737166421109521,0.30428571428571427,0.1873894396003732,3.789404866700818,0.9681350242107585,0.8804443048988978,0.7207298098722537,0.381075458514945,1.1993482177491552,-0.16003745025701302,-0.09285227376543054,-0.017915185181920087,0.04126266047469205,0.15004118934590072,0,전국민 공공AI
13,0.3611113848297566,0.3332751409523197,0.19482052154571017,0.9738495894572935,0.29714285714285715,0.18341740094315673,3.878617819020317,0.9675675598479533,0.8798584057959744,0.7206046770516686,0.3835904332770168,1.209481383364118,-0.17268824995547907,-0.09909190713172866,-0.017550482460305862,0.046339688914110944,0.16417252449923808,0,전국민 공공AI
