C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,ITM_NM_ENG,LST_CHN_DE,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,144.13639,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201902,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,129.50065,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201903,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,98.92362,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201904,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,109.4337,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,202001,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,103.93405,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,202002,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,96.77141,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,202003,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,90.73403,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,202004,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,88.59312,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,202101,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,95.46004,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,202102,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B05,석탄 원유 및 천연가스 광업,Mining of coal crude petroleum and natural gas,산업별,By industry,96.23184,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,202103,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
