spec_id,policy,wolfson_vs_market,output_vs_market,ede_vs_market,vulnerable_vs_market
20,공공AI 실패,-0.004456460385583436,-0.02432620232882174,-0.02333086132644016,0.014631870444529516
20,공공AI 종합안,-0.027690747641151765,-0.08007341889552903,-0.07081061511442036,0.05147469440459396
20,공공AI+공교육,-0.022941662483284393,-0.04315998600459914,-0.03675130299924245,0.02389897482538535
20,공공AI+돌봄,-0.012859808284394467,-0.07190423377594247,-0.06943086316549707,0.02783259974641298
20,전국민 공공AI,-0.010113275805947994,-0.04001786596518794,-0.03767267091555951,0.0006843101905955971
21,공공AI 실패,-0.004481917824000051,0.00270600949203241,0.0040977627586591125,0.014826502123546859
21,공공AI 종합안,-0.03946976270061901,0.03863498465613845,0.05146338711294429,0.052264604999606355
21,공공AI+공교육,-0.030959959102788814,0.04188936089010024,0.05103130976162773,0.024639833510964104
21,공공AI+돌봄,-0.01865874118947089,-3.65263080903816e-05,0.004080186280218806,0.02803767257816281
21,전국민 공공AI,-0.015004598126895391,0.00552407791712721,0.009307712859755207,0.0008528586788519137
22,공공AI 실패,-0.00475432848545948,0.00739311947306958,0.00837670428019352,0.014960158743899074
22,공공AI 종합안,-0.03918744733118221,0.055740326418186006,0.06773673257707054,0.05280126237004919
22,공공AI+공교육,-0.03144677119749657,0.055023449930647984,0.06388033307041864,0.025138039907459036
22,공공AI+돌봄,-0.02023549224253368,0.007618386397442459,0.013174264770115796,0.028198425751730632
22,전국민 공공AI,-0.015527574950411821,0.00999132926631158,0.014976229395704282,0.0009849810285366516
23,공공AI 실패,-0.007366564538815679,-0.01672063284597622,-0.014870428535270458,0.015005877301044858
23,공공AI 종합안,-0.05644470001285741,-0.043452844923680345,-0.025763234407030072,0.05304448932300938
23,공공AI+공교육,-0.04510971816343953,-0.012609633026195166,4.354502882733535e-05,0.02535821913843676
23,공공AI+돌봄,-0.024681175311190517,-0.057650143418136346,-0.05123943338055262,0.028294782074387036
